 Device e/o servizi ;OPEX; Caratteristiche ;;;Modello (ove disponibile) ;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;IVA;1,22
;o;CPU ; RAM ;Tera;;peso;Quantità;;;;;;;;;;
;CAPEX;;;byte ;;;;;;;;;;;;;
Ws02 - core solo produzione;OPEX;;;;;100%;1;2.818,00 €;;;;;;;;;
;;;;;;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;;
TOTALE Licenze Investimento ;CAPEX ;;;;;;;6.875,35 €;;;;;;6.875,35 €;;;
Totale Licenze Dynatrace OPEX;OPEX ;;;;;;;955,45 €;955,45 €;955,45 €;955,45 €;955,45 €;955,45 €;5.732,71 €;;;
Totale Licenze OPEX;OPEX;;;;;;;34.654,35 €;32.432,17 €;32.432,17 €;32.432,17 €;32.432,17 €;32.432,17 €;196.815,21 €;;;
Attività Progettuali;;;;;;;;;;;;;;;;;
Architettura/progettazione;CAPEX;;;;Progettazione della soluzione / Low Level Design ;;0;;;;;;;;;;
Architettura/Quality;CAPEX;;;;Quality Assurance;;0;;;;;;;;;;
Infrastruttura/Predisposizione dell’infrastruttura ;CAPEX ;;;;Infrastruttura ambiente di pronta allo sviluppo (includendo utenze tecniche, secret , ecc…) (630 Euro * N° Giornate)  ;;0;0,00 €;;;;;;;;;
Infrastruttura/Creazione o modifica delle pipeline di deploy ;CAPEX;;;;Sviluppo pipeline (Giornate 525*giornate);100%;0;0,00 €;;;;;;;;;
Infrastruttura/Predisposizione per la parte di osservability ;CAPEX;;;;Sviluppo Dashboard di monitoraggio, allarmistica.  (630 Euro * N° Giornate);100%;0;0,00 €;;;;;;;;;
Infrastruttura/Esecuzione dei test di carico;CAPEX;;;;Stress test + Valutazione ( Media di 450€/gg) minimo 20 gg;100%;0;0,00 €;;;;;;;;;
Infrastrutture/Major Change;OPEX;;;;Realizzazioni Infrastrutturale ACN (RFC) - 490 € /gg;100%;0;0,00 €;;;;;;;;;
